query,job_id,grade,note
Python Django,1583,1,kotlin spring server result is weak for django-specific query
Python Django,1688,2,generic backend developer result without django-specific title
Python Django,1691,2,generic backend developer result without django-specific title
Python Django,1693,2,generic backend developer result without django-specific title
Go Fiber,2131,2,generic go backend result without explicit fiber
Go Fiber,2180,2,generic go backend result without explicit fiber
Go Fiber,2229,2,generic go backend result without explicit fiber
Go Fiber,2232,2,generic go backend result without explicit fiber
Go Fiber,2283,2,generic go backend result without explicit fiber
Go Fiber,2348,2,generic go backend result without explicit fiber
Go Fiber,412,2,generic go backend result without explicit fiber
Go Fiber,1888,2,generic go backend result without explicit fiber
Go Fiber,1818,2,generic go backend result without explicit fiber
Go Fiber,1685,2,generic golang backend result without explicit fiber
mlops 엔지니어,1647,3,mlops platform data engineering is highly relevant
LLM Python 엔지니어,334,2,generative ai role but title is not engineer-oriented
.NET 개발자,2105,1,ai big-data research is weakly related to dotnet developer search
